username,repo_name,stars,related tags,repo_url
bregman-arie,devops-exercises,65500, python  git  linux  docker  kubernetes  aws  ansible  devops  sql  azure  containers  terraform  openstack  interview  prometheus  coding  sre  interview-questions  production-engineer ,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,61900, computer-science  aws  cloud-computing  software-engineering  software-development  interview-questions  coding-interviews  software-architecture  system-design  system-design-interview ,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,53400, python  testing  aws  cloud  continuous-integration  developer-tools  localstack ,https://github.com/localstack/localstack
serverless,serverless,46300, aws  aws-lambda  microservice  serverless  serverless-framework  azure-functions  serverless-architectures  google-cloud-functions  aws-dynamodb ,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,27000, python  aws  data-science  machine-learning  caffe  theano  big-data  spark  deep-learning  hadoop  tensorflow  numpy  scikit-learn  keras  pandas  kaggle  scipy  matplotlib  mapreduce ,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,21200, javascript  python  golang  aws  lambda  typescript  csharp  serverless  reactjs  nextjs  sst  cdk  serverless-stack ,https://github.com/sst/sst
pulumi,pulumi,20800, javascript  python  go  kubernetes  golang  aws  cloud  typescript  csharp  serverless  fsharp  dotnet  azure  containers  gcp  iac  cloud-computing  infrastructure-as-code ,https://github.com/pulumi/pulumi
getsops,sops,16100, aws  security  devops  azure  pgp  gcp  secret-management  secret-distribution  sops ,https://github.com/getsops/sops
kubernetes-sigs,kubespray,15800, kubernetes  aws  ansible  kubernetes-cluster  high-availability  gce  hacktoberfest  bare-metal  kubespray  k8s-sig-cluster-lifecycle ,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,15200, aws  cloud  aws-cli  cloud-management ,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,14900, docker  kubernetes  aws  machine-learning  meetup  books  schedule  resource  azure  cloud-providers  google-cloud  kubernetes-cluster  minikube  kubernetes-sources  deploy-kubernetes  enterprise-kubernetes-products  monitoring-kubernetes  google-kubernetes ,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,12800, nodejs  python  heroku  docker  nginx  php  aws  digitalocean  node  deployment  azure  containers  webserver  docker-swarm  paas  node-js  nginx-docker  captainduckduck  caprover ,https://github.com/caprover/caprover
donnemartin,awesome-aws,12300, route53  aws  elasticsearch  lambda  machine-learning  cloud  cloudformation  ec2  serverless  aws-sdk  dynamodb  s3  cloudwatch  iam  ecs  kinesis  aws-cli  cloud-management  redshift  rds ,https://github.com/donnemartin/awesome-aws
GoogleCloudPlatform,terraformer,12300, kubernetes  golang  aws  cloud  terraform  gcp  google-cloud  hcl  infrastructure-as-code  terraform-configurations ,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-cdk,11500, aws  typescript  cloud-infrastructure  infrastructure-as-code  hacktoberfest ,https://github.com/aws/aws-cdk
phidatahq,phidata,11000, python  aws  ai  developer-tools  gpt-4  llm  llmops ,https://github.com/phidatahq/phidata
milanm,DevOps-Roadmap,10900, python  go  linux  docker  kubernetes  computer-science  aws  devops  roadmap  jira  continuous-integration  azure  grafana  prometheus  sre  study-plan  continous-delivery  developer-roadmap  devops-roadmap ,https://github.com/milanm/DevOps-Roadmap
apereo,cas,10800, java  open-source  aws  oauth2  spring-boot  authentication  spring-cloud  openidconnect  authorization  fido  sso  saml2  ldap-authentication  spring-framework  identity-provider  mfa  sso-authentication  websso  spring-webflow  duosecurity ,https://github.com/apereo/cas
infracost,infracost,10800, aws  devops  google  cloud  azure  terraform  gcp  infrastructure-as-code  cost-estimation  cost-optimization  cost-management  finops  terraform-cost-estimation  monthly-costs  cloud-cost-estimates ,https://github.com/infracost/infracost
aws,chalice,10600, python  aws  lambda  cloud  aws-lambda  serverless  aws-apigateway  python3  serverless-framework  python27 ,https://github.com/aws/chalice
