username,repo_name,stars,related tags,repo_url
babel,babel,43100, javascript  babel  es6  compiler  es2015  ast  flavortown ,https://github.com/babel/babel
swc-project,swc,30800, javascript  rust  parser  babel  typescript  compiler  ecmascript  swc  typescript-compiler  typescript-parser  ecmascript-parser ,https://github.com/swc-project/swc
nylas,nylas-mail,24800, electron  react  javascript  windows  macos  linux  flux  productivity  babel  email  nylas-mail ,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,23000, electron  react  javascript  boilerplate  babel  typescript  webpack  eslint ,https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,15500, electron  unit-testing  documentation  boilerplate  babel  webpack  vue  es6  vue-cli  end-to-end-testing  electron-packager  electron-builder ,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,15100, react  redux  javascript  stylelint  css  engineering  babel  front-end  webpack  yarn  eslint  jest  css-modules  flowtype  grab  study-plan ,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,12000, babel  handbook ,https://github.com/jamiebuilds/babel-handbook
developit,htm,8700, virtual-dom  babel  jsx  babel-plugin  tagged-template ,https://github.com/developit/htm
grommet,grommet,8300, react  javascript  babel  grommet  a11y  ux-framework  hacktoberfest  design-system ,https://github.com/grommet/grommet
ben-rogerson,twin.macro,7900, react  babel  styled-components  reactjs  emotion  css-in-js  twin  stitches  emotionjs  solidjs  tailwind  tailwindcss  tailwind-css  styling-react  styling-css-in-js  babel-macro  goober  tailwind-in-js ,https://github.com/ben-rogerson/twin.macro
ast-grep,ast-grep,6900, refactoring  search  rust  tree-sitter  babel  typescript  command-line  linter  static-analysis  ast  codemod  command-line-tool  grep  codereview  structural-search ,https://github.com/ast-grep/ast-grep
angular-fullstack,generator-angular-fullstack,6100, javascript  sass  babel  angular  typescript  mongodb  yeoman  yeoman-generator  pug  sequelize  full-stack ,https://github.com/angular-fullstack/generator-angular-fullstack
fkling,astexplorer,6100, javascript  parser  babel  postcss  ast  jscodeshift  ast-explorer ,https://github.com/fkling/astexplorer
documentationjs,documentation,5800, javascript  documentation  babel  jsdoc  documentation-tool ,https://github.com/documentationjs/documentation
insin,nwb,5600, react  javascript  babel  webpack  preact  toolkit  react-component  karma  inferno  npm-module ,https://github.com/insin/nwb
thx,gogocode,5400, babel  vue  ast  jscodeshift  recast ,https://github.com/thx/gogocode
thinkjs,thinkjs,5300, babel  typescript  es2015  koa2  esnext  thinkjs ,https://github.com/thinkjs/thinkjs
egoist,poi,5200, react  babel  vuejs  typescript  webpack  vue  preact  postcss  bundle  svelte  build-tool ,https://github.com/egoist/poi
duxianwei520,react,5000, react  redux  babel  webpack  es6  antd  es7  ant-design-pro ,https://github.com/duxianwei520/react
babel,babel-loader,4800, babel  webpack  loader ,https://github.com/babel/babel-loader
